scope,parameter,description,value,unit,evidence_type,species,source,rationale,confidence,calibration_priority,code_location,evidence_scope,literature_value,comparison_to_literature,source_url,scope_zh,description_zh,unit_zh,evidence_type_zh,species_zh,rationale_zh,confidence_zh,calibration_priority_zh,evidence_scope_zh,literature_value_zh,comparison_to_literature_zh
mouse_pbpk,Kp_brain,Tissue-to-plasma partition coefficient,0.04,dimensionless,assumed,adult mouse,"Liu et al. 2024, doi:10.1016/j.xphs.2023.10.005","Exploratory ISF exchange prior; Liu whole-tissue T/B ratios are calibration targets, not direct Kp replacements",low,high,model/ode1.0.py:make_params,mechanistic-only,Liu 2024 whole-tissue T/B ~2,"not directly comparable: observed whole tissue includes vascular, cellular and nuclear vector",https://doi.org/10.1016/j.xphs.2023.10.005,小鼠 PBPK,组织-血浆分配系数,无量纲,假设值,成年小鼠,"Exploratory ISF exchange prior; Liu whole-tissue T/B ratios are calibration targets, not direct Kp replacements",低,高,仅支持机制，不能直接约束数值,Liu 2024 whole-tissue T/B ~2,"not directly comparable: observed whole tissue includes vascular, cellular and nuclear vector"
mouse_pbpk,Kp_heart,Tissue-to-plasma partition coefficient,0.6,dimensionless,assumed,adult mouse,"Liu et al. 2024, doi:10.1016/j.xphs.2023.10.005","Exploratory ISF exchange prior; Liu whole-tissue T/B ratios are calibration targets, not direct Kp replacements",low,high,model/ode1.0.py:make_params,mechanistic-only,Liu 2024 whole-tissue T/B ~10,"not directly comparable: observed whole tissue includes vascular, cellular and nuclear vector",https://doi.org/10.1016/j.xphs.2023.10.005,小鼠 PBPK,组织-血浆分配系数,无量纲,假设值,成年小鼠,"Exploratory ISF exchange prior; Liu whole-tissue T/B ratios are calibration targets, not direct Kp replacements",低,高,仅支持机制，不能直接约束数值,Liu 2024 whole-tissue T/B ~10,"not directly comparable: observed whole tissue includes vascular, cellular and nuclear vector"
mouse_pbpk,Kp_kidney,Tissue-to-plasma partition coefficient,0.8,dimensionless,assumed,adult mouse,"Liu et al. 2024, doi:10.1016/j.xphs.2023.10.005","Exploratory ISF exchange prior; Liu whole-tissue T/B ratios are calibration targets, not direct Kp replacements",low,high,model/ode1.0.py:make_params,mechanistic-only,Liu 2024 whole-tissue T/B ~2,"not directly comparable: observed whole tissue includes vascular, cellular and nuclear vector",https://doi.org/10.1016/j.xphs.2023.10.005,小鼠 PBPK,组织-血浆分配系数,无量纲,假设值,成年小鼠,"Exploratory ISF exchange prior; Liu whole-tissue T/B ratios are calibration targets, not direct Kp replacements",低,高,仅支持机制，不能直接约束数值,Liu 2024 whole-tissue T/B ~2,"not directly comparable: observed whole tissue includes vascular, cellular and nuclear vector"
mouse_pbpk,Kp_liver,Tissue-to-plasma partition coefficient,1.5,dimensionless,assumed,adult mouse,"Liu et al. 2024, doi:10.1016/j.xphs.2023.10.005","Exploratory ISF exchange prior; Liu whole-tissue T/B ratios are calibration targets, not direct Kp replacements",low,high,model/ode1.0.py:make_params,mechanistic-only,Liu 2024 whole-tissue T/B ~50,"not directly comparable: observed whole tissue includes vascular, cellular and nuclear vector",https://doi.org/10.1016/j.xphs.2023.10.005,小鼠 PBPK,组织-血浆分配系数,无量纲,假设值,成年小鼠,"Exploratory ISF exchange prior; Liu whole-tissue T/B ratios are calibration targets, not direct Kp replacements",低,高,仅支持机制，不能直接约束数值,Liu 2024 whole-tissue T/B ~50,"not directly comparable: observed whole tissue includes vascular, cellular and nuclear vector"
mouse_pbpk,Kp_lung,Tissue-to-plasma partition coefficient,0.7,dimensionless,assumed,adult mouse,"Liu et al. 2024, doi:10.1016/j.xphs.2023.10.005","Exploratory ISF exchange prior; Liu whole-tissue T/B ratios are calibration targets, not direct Kp replacements",low,high,model/ode1.0.py:make_params,mechanistic-only,Liu 2024 whole-tissue T/B ~2,"not directly comparable: observed whole tissue includes vascular, cellular and nuclear vector",https://doi.org/10.1016/j.xphs.2023.10.005,小鼠 PBPK,组织-血浆分配系数,无量纲,假设值,成年小鼠,"Exploratory ISF exchange prior; Liu whole-tissue T/B ratios are calibration targets, not direct Kp replacements",低,高,仅支持机制，不能直接约束数值,Liu 2024 whole-tissue T/B ~2,"not directly comparable: observed whole tissue includes vascular, cellular and nuclear vector"
mouse_pbpk,Kp_muscle,Tissue-to-plasma partition coefficient,0.5,dimensionless,assumed,adult mouse,"Liu et al. 2024, doi:10.1016/j.xphs.2023.10.005","Exploratory ISF exchange prior; Liu whole-tissue T/B ratios are calibration targets, not direct Kp replacements",low,high,model/ode1.0.py:make_params,mechanistic-only,Liu 2024 whole-tissue T/B ~10,"not directly comparable: observed whole tissue includes vascular, cellular and nuclear vector",https://doi.org/10.1016/j.xphs.2023.10.005,小鼠 PBPK,组织-血浆分配系数,无量纲,假设值,成年小鼠,"Exploratory ISF exchange prior; Liu whole-tissue T/B ratios are calibration targets, not direct Kp replacements",低,高,仅支持机制，不能直接约束数值,Liu 2024 whole-tissue T/B ~10,"not directly comparable: observed whole tissue includes vascular, cellular and nuclear vector"
mouse_pbpk,Kp_rest,Tissue-to-plasma partition coefficient,0.4,dimensionless,assumed,adult mouse,"Liu et al. 2024, doi:10.1016/j.xphs.2023.10.005","Exploratory ISF exchange prior; Liu whole-tissue T/B ratios are calibration targets, not direct Kp replacements",low,high,model/ode1.0.py:make_params,mechanistic-only,Liu 2024 whole-tissue T/B not directly comparable,"not directly comparable: observed whole tissue includes vascular, cellular and nuclear vector",https://doi.org/10.1016/j.xphs.2023.10.005,小鼠 PBPK,组织-血浆分配系数,无量纲,假设值,成年小鼠,"Exploratory ISF exchange prior; Liu whole-tissue T/B ratios are calibration targets, not direct Kp replacements",低,高,仅支持机制，不能直接约束数值,Liu 2024 whole-tissue T/B not directly comparable,"not directly comparable: observed whole tissue includes vascular, cellular and nuclear vector"
mouse_pbpk,Kp_spleen,Tissue-to-plasma partition coefficient,1.2,dimensionless,assumed,adult mouse,"Liu et al. 2024, doi:10.1016/j.xphs.2023.10.005","Exploratory ISF exchange prior; Liu whole-tissue T/B ratios are calibration targets, not direct Kp replacements",low,high,model/ode1.0.py:make_params,mechanistic-only,Liu 2024 whole-tissue T/B ~2,"not directly comparable: observed whole tissue includes vascular, cellular and nuclear vector",https://doi.org/10.1016/j.xphs.2023.10.005,小鼠 PBPK,组织-血浆分配系数,无量纲,假设值,成年小鼠,"Exploratory ISF exchange prior; Liu whole-tissue T/B ratios are calibration targets, not direct Kp replacements",低,高,仅支持机制，不能直接约束数值,Liu 2024 whole-tissue T/B ~2,"not directly comparable: observed whole tissue includes vascular, cellular and nuclear vector"
mouse_pbpk,PS_brain,Permeability-surface area product,5e-05,mL/h,assumed,adult mouse,"Liu et al. 2024, doi:10.1016/j.xphs.2023.10.005",Mechanistic PBPK parameter; present value chosen for organ ordering and requires fit,low,high,model/ode1.0.py:make_params,mechanistic-only,,,https://doi.org/10.1016/j.xphs.2023.10.005,小鼠 PBPK,通透性-表面积乘积,mL/h,假设值,成年小鼠,机制性 PBPK 参数；当前数值用于形成器官排序，仍需拟合,低,高,仅支持机制，不能直接约束数值,,
mouse_pbpk,PS_heart,Permeability-surface area product,0.05,mL/h,assumed,adult mouse,"Liu et al. 2024, doi:10.1016/j.xphs.2023.10.005",Mechanistic PBPK parameter; present value chosen for organ ordering and requires fit,low,high,model/ode1.0.py:make_params,mechanistic-only,,,https://doi.org/10.1016/j.xphs.2023.10.005,小鼠 PBPK,通透性-表面积乘积,mL/h,假设值,成年小鼠,机制性 PBPK 参数；当前数值用于形成器官排序，仍需拟合,低,高,仅支持机制，不能直接约束数值,,
mouse_pbpk,PS_kidney,Permeability-surface area product,0.08,mL/h,assumed,adult mouse,"Liu et al. 2024, doi:10.1016/j.xphs.2023.10.005",Mechanistic PBPK parameter; present value chosen for organ ordering and requires fit,low,high,model/ode1.0.py:make_params,mechanistic-only,,,https://doi.org/10.1016/j.xphs.2023.10.005,小鼠 PBPK,通透性-表面积乘积,mL/h,假设值,成年小鼠,机制性 PBPK 参数；当前数值用于形成器官排序，仍需拟合,低,高,仅支持机制，不能直接约束数值,,
mouse_pbpk,PS_liver,Permeability-surface area product,0.2,mL/h,assumed,adult mouse,"Liu et al. 2024, doi:10.1016/j.xphs.2023.10.005",Mechanistic PBPK parameter; present value chosen for organ ordering and requires fit,low,high,model/ode1.0.py:make_params,mechanistic-only,,,https://doi.org/10.1016/j.xphs.2023.10.005,小鼠 PBPK,通透性-表面积乘积,mL/h,假设值,成年小鼠,机制性 PBPK 参数；当前数值用于形成器官排序，仍需拟合,低,高,仅支持机制，不能直接约束数值,,
mouse_pbpk,PS_lung,Permeability-surface area product,0.1,mL/h,assumed,adult mouse,"Liu et al. 2024, doi:10.1016/j.xphs.2023.10.005",Mechanistic PBPK parameter; present value chosen for organ ordering and requires fit,low,high,model/ode1.0.py:make_params,mechanistic-only,,,https://doi.org/10.1016/j.xphs.2023.10.005,小鼠 PBPK,通透性-表面积乘积,mL/h,假设值,成年小鼠,机制性 PBPK 参数；当前数值用于形成器官排序，仍需拟合,低,高,仅支持机制，不能直接约束数值,,
mouse_pbpk,PS_muscle,Permeability-surface area product,0.03,mL/h,assumed,adult mouse,"Liu et al. 2024, doi:10.1016/j.xphs.2023.10.005",Mechanistic PBPK parameter; present value chosen for organ ordering and requires fit,low,high,model/ode1.0.py:make_params,mechanistic-only,,,https://doi.org/10.1016/j.xphs.2023.10.005,小鼠 PBPK,通透性-表面积乘积,mL/h,假设值,成年小鼠,机制性 PBPK 参数；当前数值用于形成器官排序，仍需拟合,低,高,仅支持机制，不能直接约束数值,,
mouse_pbpk,PS_rest,Permeability-surface area product,0.02,mL/h,assumed,adult mouse,"Liu et al. 2024, doi:10.1016/j.xphs.2023.10.005",Mechanistic PBPK parameter; present value chosen for organ ordering and requires fit,low,high,model/ode1.0.py:make_params,mechanistic-only,,,https://doi.org/10.1016/j.xphs.2023.10.005,小鼠 PBPK,通透性-表面积乘积,mL/h,假设值,成年小鼠,机制性 PBPK 参数；当前数值用于形成器官排序，仍需拟合,低,高,仅支持机制，不能直接约束数值,,
mouse_pbpk,PS_spleen,Permeability-surface area product,0.15,mL/h,assumed,adult mouse,"Liu et al. 2024, doi:10.1016/j.xphs.2023.10.005",Mechanistic PBPK parameter; present value chosen for organ ordering and requires fit,low,high,model/ode1.0.py:make_params,mechanistic-only,,,https://doi.org/10.1016/j.xphs.2023.10.005,小鼠 PBPK,通透性-表面积乘积,mL/h,假设值,成年小鼠,机制性 PBPK 参数；当前数值用于形成器官排序，仍需拟合,低,高,仅支持机制，不能直接约束数值,,
mouse_pbpk,Q_brain,Effective perfusion or exchange-flow parameter,0.125,mL/h,scaled,adult mouse,"Liu et al. 2024, doi:10.1016/j.xphs.2023.10.005",Physiological flow is multiplied by an explicit effective-exchange scale,low,high,model/ode1.0.py:make_params,physiology-scaled,,,https://doi.org/10.1016/j.xphs.2023.10.005,小鼠 PBPK,有效灌流或交换血流参数,mL/h,缩放值,成年小鼠,生理血流乘以显式的有效交换缩放系数,低,高,生理学缩放证据,,
mouse_pbpk,Q_heart,Effective perfusion or exchange-flow parameter,0.0625,mL/h,scaled,adult mouse,"Liu et al. 2024, doi:10.1016/j.xphs.2023.10.005",Physiological flow is multiplied by an explicit effective-exchange scale,low,high,model/ode1.0.py:make_params,physiology-scaled,,,https://doi.org/10.1016/j.xphs.2023.10.005,小鼠 PBPK,有效灌流或交换血流参数,mL/h,缩放值,成年小鼠,生理血流乘以显式的有效交换缩放系数,低,高,生理学缩放证据,,
mouse_pbpk,Q_kidney,Effective perfusion or exchange-flow parameter,0.25,mL/h,scaled,adult mouse,"Liu et al. 2024, doi:10.1016/j.xphs.2023.10.005",Physiological flow is multiplied by an explicit effective-exchange scale,low,high,model/ode1.0.py:make_params,physiology-scaled,,,https://doi.org/10.1016/j.xphs.2023.10.005,小鼠 PBPK,有效灌流或交换血流参数,mL/h,缩放值,成年小鼠,生理血流乘以显式的有效交换缩放系数,低,高,生理学缩放证据,,
mouse_pbpk,Q_liver,Effective perfusion or exchange-flow parameter,0.3125,mL/h,scaled,adult mouse,"Liu et al. 2024, doi:10.1016/j.xphs.2023.10.005",Physiological flow is multiplied by an explicit effective-exchange scale,low,high,model/ode1.0.py:make_params,physiology-scaled,,,https://doi.org/10.1016/j.xphs.2023.10.005,小鼠 PBPK,有效灌流或交换血流参数,mL/h,缩放值,成年小鼠,生理血流乘以显式的有效交换缩放系数,低,高,生理学缩放证据,,
mouse_pbpk,Q_lung,Effective perfusion or exchange-flow parameter,1.25,mL/h,scaled,adult mouse,"Liu et al. 2024, doi:10.1016/j.xphs.2023.10.005",Physiological flow is multiplied by an explicit effective-exchange scale,low,high,model/ode1.0.py:make_params,physiology-scaled,,,https://doi.org/10.1016/j.xphs.2023.10.005,小鼠 PBPK,有效灌流或交换血流参数,mL/h,缩放值,成年小鼠,生理血流乘以显式的有效交换缩放系数,低,高,生理学缩放证据,,
mouse_pbpk,Q_muscle,Effective perfusion or exchange-flow parameter,0.1875,mL/h,scaled,adult mouse,"Liu et al. 2024, doi:10.1016/j.xphs.2023.10.005",Physiological flow is multiplied by an explicit effective-exchange scale,low,high,model/ode1.0.py:make_params,physiology-scaled,,,https://doi.org/10.1016/j.xphs.2023.10.005,小鼠 PBPK,有效灌流或交换血流参数,mL/h,缩放值,成年小鼠,生理血流乘以显式的有效交换缩放系数,低,高,生理学缩放证据,,
mouse_pbpk,Q_rest,Effective perfusion or exchange-flow parameter,0.175,mL/h,scaled,adult mouse,"Liu et al. 2024, doi:10.1016/j.xphs.2023.10.005",Physiological flow is multiplied by an explicit effective-exchange scale,low,high,model/ode1.0.py:make_params,physiology-scaled,,,https://doi.org/10.1016/j.xphs.2023.10.005,小鼠 PBPK,有效灌流或交换血流参数,mL/h,缩放值,成年小鼠,生理血流乘以显式的有效交换缩放系数,低,高,生理学缩放证据,,
mouse_pbpk,Q_scale,Effective perfusion or exchange-flow parameter,0.0014880952381,dimensionless,assumed,adult mouse,"Liu et al. 2024, doi:10.1016/j.xphs.2023.10.005",Physiological flow is multiplied by an explicit effective-exchange scale,low,high,model/ode1.0.py:make_params,structural/design,,,https://doi.org/10.1016/j.xphs.2023.10.005,小鼠 PBPK,有效灌流或交换血流参数,无量纲,假设值,成年小鼠,生理血流乘以显式的有效交换缩放系数,低,高,模型结构或设计输入,,
mouse_pbpk,Q_spleen,Effective perfusion or exchange-flow parameter,0.075,mL/h,scaled,adult mouse,"Liu et al. 2024, doi:10.1016/j.xphs.2023.10.005",Physiological flow is multiplied by an explicit effective-exchange scale,low,high,model/ode1.0.py:make_params,physiology-scaled,,,https://doi.org/10.1016/j.xphs.2023.10.005,小鼠 PBPK,有效灌流或交换血流参数,mL/h,缩放值,成年小鼠,生理血流乘以显式的有效交换缩放系数,低,高,生理学缩放证据,,
mouse_pbpk,R_tot,"Cellular uptake, intracellular trafficking, immune or expression parameter",100000,mixed; see equation,assumed,generic mammalian cell,"Pillay et al. 2016, doi:10.1038/nature16465; Nonnenmacher and Weber 2012, doi:10.1038/gt.2012.6; Riyad and Weber 2021, doi:10.1038/s41434-021-00243-z",Mechanistic step is literature-supported; present numerical value is an exploratory prior,low,high,model/ode1.0.py:make_params,mechanistic-only,,,https://doi.org/10.1038/nature16465,小鼠 PBPK,细胞摄取、胞内转运、免疫或表达参数,混合单位，见对应方程,假设值,通用哺乳动物细胞,机制步骤有文献支持，但当前数值仍是探索性先验,低,高,仅支持机制，不能直接约束数值,,
mouse_pbpk,T_inf_h,Administration or model-control setting,0.166666666667,h or categorical,design,model,Current model structural prior; requires project-specific calibration,Defines the simulated scenario,not applicable,low,model/ode1.0.py:make_params,structural/design,,,,小鼠 PBPK,给药或模型控制设置,h 或类别变量,设计输入,模型,定义模拟场景,不适用,低,模型结构或设计输入,,
mouse_pbpk,V_blood,Effective compartment volume,1.5,mL,scaled,adult mouse,Brown et al. 1997; Davies and Morris 1993; Shah and Betts 2012/2013,Organ-scale values assembled for mass-conserving PBPK geometry,medium,medium,model/ode1.0.py:make_params,physiology-scaled,,,https://pubmed.ncbi.nlm.nih.gov/8378254/; https://pmc.ncbi.nlm.nih.gov/articles/PMC3727051/,小鼠 PBPK,有效隔室容积,mL,缩放值,成年小鼠,为满足质量守恒的 PBPK 几何而汇总的器官尺度数值,中,中,生理学缩放证据,,
mouse_pbpk,V_brain_isf,Effective compartment volume,0.08,mL,scaled,adult mouse,Brown et al. 1997; Davies and Morris 1993; Shah and Betts 2012/2013,Organ-scale values assembled for mass-conserving PBPK geometry,medium,medium,model/ode1.0.py:make_params,physiology-scaled,,,https://pubmed.ncbi.nlm.nih.gov/8378254/; https://pmc.ncbi.nlm.nih.gov/articles/PMC3727051/,小鼠 PBPK,有效隔室容积,mL,缩放值,成年小鼠,为满足质量守恒的 PBPK 几何而汇总的器官尺度数值,中,中,生理学缩放证据,,
mouse_pbpk,V_brain_v,Effective compartment volume,0.035,mL,scaled,adult mouse,Brown et al. 1997; Davies and Morris 1993; Shah and Betts 2012/2013,Organ-scale values assembled for mass-conserving PBPK geometry,medium,medium,model/ode1.0.py:make_params,physiology-scaled,,,https://pubmed.ncbi.nlm.nih.gov/8378254/; https://pmc.ncbi.nlm.nih.gov/articles/PMC3727051/,小鼠 PBPK,有效隔室容积,mL,缩放值,成年小鼠,为满足质量守恒的 PBPK 几何而汇总的器官尺度数值,中,中,生理学缩放证据,,
mouse_pbpk,V_heart_isf,Effective compartment volume,0.019,mL,scaled,adult mouse,Brown et al. 1997; Davies and Morris 1993; Shah and Betts 2012/2013,Organ-scale values assembled for mass-conserving PBPK geometry,medium,medium,model/ode1.0.py:make_params,physiology-scaled,,,https://pubmed.ncbi.nlm.nih.gov/8378254/; https://pmc.ncbi.nlm.nih.gov/articles/PMC3727051/,小鼠 PBPK,有效隔室容积,mL,缩放值,成年小鼠,为满足质量守恒的 PBPK 几何而汇总的器官尺度数值,中,中,生理学缩放证据,,
mouse_pbpk,V_heart_v,Effective compartment volume,0.007,mL,scaled,adult mouse,Brown et al. 1997; Davies and Morris 1993; Shah and Betts 2012/2013,Organ-scale values assembled for mass-conserving PBPK geometry,medium,medium,model/ode1.0.py:make_params,physiology-scaled,,,https://pubmed.ncbi.nlm.nih.gov/8378254/; https://pmc.ncbi.nlm.nih.gov/articles/PMC3727051/,小鼠 PBPK,有效隔室容积,mL,缩放值,成年小鼠,为满足质量守恒的 PBPK 几何而汇总的器官尺度数值,中,中,生理学缩放证据,,
mouse_pbpk,V_kidney_filtrate,Effective compartment volume,0.02,mL,scaled,adult mouse,Brown et al. 1997; Davies and Morris 1993; Shah and Betts 2012/2013,Organ-scale values assembled for mass-conserving PBPK geometry,medium,medium,model/ode1.0.py:make_params,physiology-scaled,,,https://pubmed.ncbi.nlm.nih.gov/8378254/; https://pmc.ncbi.nlm.nih.gov/articles/PMC3727051/,小鼠 PBPK,有效隔室容积,mL,缩放值,成年小鼠,为满足质量守恒的 PBPK 几何而汇总的器官尺度数值,中,中,生理学缩放证据,,
mouse_pbpk,V_kidney_isf,Effective compartment volume,0.101,mL,scaled,adult mouse,Brown et al. 1997; Davies and Morris 1993; Shah and Betts 2012/2013,Organ-scale values assembled for mass-conserving PBPK geometry,medium,medium,model/ode1.0.py:make_params,physiology-scaled,,,https://pubmed.ncbi.nlm.nih.gov/8378254/; https://pmc.ncbi.nlm.nih.gov/articles/PMC3727051/,小鼠 PBPK,有效隔室容积,mL,缩放值,成年小鼠,为满足质量守恒的 PBPK 几何而汇总的器官尺度数值,中,中,生理学缩放证据,,
mouse_pbpk,V_kidney_pt_lumen,Effective compartment volume,0.04,mL,scaled,adult mouse,Brown et al. 1997; Davies and Morris 1993; Shah and Betts 2012/2013,Organ-scale values assembled for mass-conserving PBPK geometry,medium,medium,model/ode1.0.py:make_params,physiology-scaled,,,https://pubmed.ncbi.nlm.nih.gov/8378254/; https://pmc.ncbi.nlm.nih.gov/articles/PMC3727051/,小鼠 PBPK,有效隔室容积,mL,缩放值,成年小鼠,为满足质量守恒的 PBPK 几何而汇总的器官尺度数值,中,中,生理学缩放证据,,
mouse_pbpk,V_kidney_v,Effective compartment volume,0.03,mL,scaled,adult mouse,Brown et al. 1997; Davies and Morris 1993; Shah and Betts 2012/2013,Organ-scale values assembled for mass-conserving PBPK geometry,medium,medium,model/ode1.0.py:make_params,physiology-scaled,,,https://pubmed.ncbi.nlm.nih.gov/8378254/; https://pmc.ncbi.nlm.nih.gov/articles/PMC3727051/,小鼠 PBPK,有效隔室容积,mL,缩放值,成年小鼠,为满足质量守恒的 PBPK 几何而汇总的器官尺度数值,中,中,生理学缩放证据,,
mouse_pbpk,V_liver_isf,Effective compartment volume,0.19,mL,scaled,adult mouse,Brown et al. 1997; Davies and Morris 1993; Shah and Betts 2012/2013,Organ-scale values assembled for mass-conserving PBPK geometry,medium,medium,model/ode1.0.py:make_params,physiology-scaled,,,https://pubmed.ncbi.nlm.nih.gov/8378254/; https://pmc.ncbi.nlm.nih.gov/articles/PMC3727051/,小鼠 PBPK,有效隔室容积,mL,缩放值,成年小鼠,为满足质量守恒的 PBPK 几何而汇总的器官尺度数值,中,中,生理学缩放证据,,
